fn,cx,cy,cz
fn124,0.736566,-0.280844,1.039871
fn125,0.569622,-0.935839,2.943983
fn13,-3.017887,0.799799,8.282600
fn14,1.074809,1.170075,2.967577
fn15,-2.223285,0.974933,4.261364
fn16,-1.985864,0.082016,5.168671
fn17,-0.219302,0.687580,2.298730
fn18,-3.334517,0.183186,3.918884
fn19,0.119193,0.002416,0.834831
fn20,-0.385231,0.591783,1.717022
fn21,0.363821,-1.273271,2.183297
fn22,-1.939761,0.071861,5.075642
fn23,0.641873,-0.887555,2.970308
fn24,-1.020595,1.566922,4.848592
fn25,-4.455604,-0.010614,9.213132
fn26,-2.752138,0.011962,2.899807
fn27,-2.628925,0.841251,8.156893
fn28,-2.827330,0.022209,3.197055
fn29,-3.023010,0.797107,8.292596
fn30,-2.363119,-0.957467,3.623032
fn31,-1.187733,-2.923068,6.189961
fn32,1.450422,-0.412650,3.282716
fn33,2.014909,0.366132,5.851393
fn34,0.836526,-0.026099,3.416685
fn35,0.703198,-0.464036,2.982933
fn36,-0.554909,0.042097,2.205899
fn37,1.863997,-0.257080,6.340651
fn38,-0.097056,-0.108582,1.028381
fn39,0.667481,-0.223222,1.520560
fn40,-2.287072,0.087065,5.051244
fn41,-0.110632,-0.052733,0.824843
fn42,-4.096169,-0.775695,5.928531
fn43,2.200383,-0.008469,5.688229
fn44,1.904219,-0.241532,4.418264
fn45,0.436868,-0.099921,1.114337
fn46,0.977317,-0.484567,2.468353
fn47,-0.212175,-0.097259,0.926960
fn48,2.006127,0.588144,4.844829
fn49,0.909660,1.057478,3.903258
fn5,-2.543423,0.166640,5.768737
fn50,0.458124,0.209531,1.658180
fn51,-0.561892,-4.973736,9.817258
fn52,-0.700041,1.636408,6.500925
fn53,0.708827,0.322081,3.449819
fn54,0.594080,0.537697,1.176624
fn55,0.942013,-0.249833,0.888258
fn56,0.851561,-1.204098,2.857676
fn57,-0.095470,0.449757,10.092038
fn58,0.174159,-0.432793,0.742719
fn59,1.935592,0.788628,5.153503
fn6,-0.140223,0.029886,3.008897
fn60,-0.199567,-0.115001,2.787699
fn61,0.594842,-1.025698,3.255665
fn62,-0.428600,-0.079592,0.854581
fn63,-0.050130,-1.073131,5.922026
fn64,4.326947,-3.737627,12.190190
fn65,0.621161,0.053902,3.172842
fn66,0.456191,-0.156210,1.739631
fn67,-0.391873,-0.057733,0.767567
fn68,0.037855,0.251478,4.336962
fn69,-0.246322,-0.640549,0.988910
fn7,-3.135399,0.123431,3.614336
fn70,0.214726,-0.345162,0.589730
fn71,0.512085,0.158944,2.249050
fn72,-1.278399,0.928918,7.944311
fn73,1.336533,-0.118721,5.762474
fn74,0.467709,-0.148016,1.915304
fn75,-3.095867,1.408786,6.895558
fn76,1.182698,-0.503279,2.369395
fn77,0.801057,0.635733,1.267834
fn78,-1.538411,0.008200,6.116681
fn79,0.933383,-0.272743,0.886784
fn8,0.854746,-1.686140,4.931222
fn80,0.848729,-1.660718,4.855201
fn81,3.851889,-4.118039,12.690813
fn82,-0.740788,-0.578234,3.133800
fn83,2.040277,0.292662,3.697647
fn84,0.987121,-0.514105,2.376964
fn85,-0.549367,0.415628,4.806205
fn86,1.298047,-2.214221,6.063918
fn87,1.122046,0.011991,3.711225
fn88,1.112657,0.366887,3.295069
